Gene	ESC_CTCF	ESC_esrrb	ESC_mafk	ESC_myc	ESC_nanog	ESC_pou5f1	ESC_sox2	ESC_Sp1	ESC_Sp3
0610005C13Rik	0	0	0	0	0	0	0	0	0
0610007P14Rik	0	0	0	0	0	0	0	0	0
0610009B22Rik	0	0	1	1	0	1	0	1	1
0610009L18Rik	0	0	0	1	0	0	0	0	1
0610009O20Rik	0	0	0	0	0	0	0	1	0
0610010B08Rik	0	0	0	0	0	0	0	1	0
0610010F05Rik	0	0	0	0	0	0	0	1	1
0610010K14Rik	1	0	0	0	0	0	0	1	1
0610012G03Rik	0	1	1	1	0	0	0	0	1
0610030E20Rik	1	0	0	0	0	0	0	1	1
0610037L13Rik	0	0	0	1	0	1	0	1	1
0610038B21Rik	0	0	0	0	0	0	0	0	0
0610039H22Rik	0	0	0	0	0	1	0	0	0
0610039K10Rik	0	0	0	0	0	1	0	0	0
0610040B10Rik	0	0	0	0	0	1	0	0	0
0610040F04Rik	1	0	0	0	1	1	0	0	0
0610040J01Rik	1	1	0	1	0	0	0	0	1
0610043K17Rik	0	0	0	0	0	0	0	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	1
1110002J07Rik	0	0	1	1	0	1	1	1	1
1110002L01Rik	1	0	1	0	0	0	0	0	0
1110004E09Rik	0	0	1	1	0	1	0	0	1
1110004F10Rik	1	0	0	1	0	0	0	0	0
1110006O24Rik	0	0	0	0	0	0	0	1	0
1110008F13Rik	0	1	0	0	0	0	0	1	1
1110008L16Rik	0	0	0	0	0	0	0	1	1
1110008P14Rik	0	0	1	0	0	1	0	1	1
1110012L19Rik	0	0	0	0	0	0	0	0	0
1110019D14Rik	0	0	0	0	0	0	0	0	0
1110020A21Rik	0	0	0	0	0	0	0	1	1
1110032A03Rik	0	0	1	0	0	0	0	0	0
1110032F04Rik	0	1	0	0	0	0	0	0	1
1110034G24Rik	0	0	0	0	1	0	0	0	0
1110037F02Rik	0	0	1	0	0	1	0	1	1
1110038B12Rik	1	0	1	1	0	1	0	0	0
1110038F14Rik	0	0	1	0	0	0	0	1	1
1110051M20Rik	0	0	1	0	0	1	0	1	1
1110058D11Rik	0	0	0	0	0	0	0	0	0
1110059E24Rik	0	1	0	0	0	0	0	0	0
1110059G10Rik	0	0	0	0	0	0	0	1	1
1110065P20Rik	0	0	0	0	0	0	0	1	1
1190002N15Rik	1	1	0	1	0	0	0	1	1
1190005I06Rik	0	1	0	1	0	0	0	1	1
1190007I07Rik	0	1	1	1	1	1	1	1	1
1300002E11Rik	0	0	0	0	0	1	0	0	1
1300017J02Rik	0	0	0	0	0	0	0	0	0
1500004A13Rik	0	0	1	1	0	0	0	1	1
1500009L16Rik	0	0	0	0	0	1	0	1	1
1500011B03Rik	1	0	1	1	0	1	0	1	1
1500011K16Rik	0	0	1	1	0	0	0	0	1
1500015A07Rik	0	0	0	0	0	0	0	0	1
1600002H07Rik	0	1	1	1	0	0	0	1	1
1600002K03Rik	0	0	0	1	0	1	0	1	1
1600012H06Rik	0	0	1	0	0	0	0	1	1
1600014C10Rik	0	0	0	0	0	0	0	0	0
1600020E01Rik	0	0	1	1	0	0	0	0	0
1600023N17Rik	1	0	0	0	0	0	0	1	0
1600029I14Rik	0	0	0	0	0	0	0	0	0
1700001D01Rik	0	0	0	0	0	0	0	0	0
1700001G11Rik	0	0	1	1	0	1	0	1	1
1700001G17Rik	0	0	0	1	0	1	0	0	1
1700001K19Rik	0	0	0	0	0	0	0	0	0
1700001K23Rik	0	0	0	0	0	0	0	0	0
1700001L05Rik	0	0	0	1	0	1	0	1	1
1700001P01Rik	1	0	1	0	1	0	0	0	0
1700003E16Rik	0	0	0	0	0	0	0	1	0
1700003F12Rik	0	0	0	1	0	0	0	1	1
1700003M07Rik	1	0	1	0	0	1	0	1	1
1700007J10Rik	0	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	0	1	1	1	1
1700007L15Rik	0	1	0	1	1	1	0	0	0
1700008J07Rik	0	1	0	0	0	0	0	1	0
1700008O03Rik	0	0	1	1	1	1	1	1	1
1700010I14Rik	1	0	0	0	0	1	0	1	1
1700012D01Rik	0	0	0	0	0	0	0	1	1
1700012D14Rik	0	1	1	1	0	1	0	0	1
1700012D16Rik	0	0	0	0	0	0	0	0	0
1700017B05Rik	1	0	0	1	0	1	0	0	1
1700017J07Rik	0	1	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0
