Gene_ID	sp1	sp3
0610011F06Rik	0	0
0610030E20Rik	1	1
1110008P14Rik	1	1
1110012L19Rik	1	1
1110032F04Rik	0	1
1110051M20Rik	1	1
1190005I06Rik	1	1
1500009L16Rik	1	1
1600002K03Rik	1	1
1700007K13Rik	1	1
1700019A02Rik	0	1
1700019D03Rik	1	1
1700019G17Rik	0	0
1700025G04Rik	1	1
1700029J07Rik	1	1
1700029P11Rik	0	1
1700056E22Rik	1	1
1700061G19Rik	0	1
1810011O10Rik	0	0
1810013L24Rik	1	1
2010111I01Rik	1	1
2010315B03Rik	0	0
2210011C24Rik	1	1
2300009A05Rik	1	1
2310022B05Rik	1	1
2310039H08Rik	1	1
2410137M14Rik	0	0
2410141K09Rik	1	1
2510009E07Rik	0	1
2610008E11Rik	0	1
2610020H08Rik	1	1
2610305D13Rik	0	0
2610528J11Rik	1	1
2810474O19Rik	1	1
2900011O08Rik	0	0
3110001I22Rik	0	0
3110002H16Rik	1	1
3110009E18Rik	0	0
3110057O12Rik	0	0
3110062M04Rik	1	1
3632451O06Rik	1	1
4930427A07Rik	0	1
4930432K21Rik	1	1
4930519F16Rik	0	0
4930539E08Rik	0	0
4933402E13Rik	0	0
4933427D06Rik	0	0
6330403K07Rik	1	1
6330408A02Rik	0	0
9230110C19Rik	1	1
9330182L06Rik	1	1
9430020K01Rik	1	1
9430069I07Rik	0	0
A2m	0	0
A4galt	1	1
A830080D01Rik	1	1
Aard	0	1
Aass	1	1
Abca1	1	1
Abcb10	1	1
Abcb1a	0	0
Abcb1b	1	1
Abcb6	1	1
Abcc4	1	1
Abcd4	1	1
Abcg1	1	1
Abhd14b	0	0
Abhd4	1	1
Abhd8	1	1
Ablim1	1	1
Abtb2	0	1
Acad10	0	0
Acadm	0	0
Acan	0	0
Acbd7	0	0
Accsl	0	1
Acer2	1	1
Ackr3	1	1
Acot13	0	0
Acot2	0	1
Acot7	1	1
Acot9	1	1
Acp5	1	1
Acsl1	1	1
Acsl5	0	1
Acss1	1	1
Acta1	0	0
Acta2	0	0
Actc1	0	0
Actl6a	1	1
Actn2	1	1
Actn3	0	0
Actr3b	1	1
Acvr1	0	0
Acvr2a	1	1
Acvr2b	1	1
Acvrl1	0	1
Acyp2	0	1
Ada	1	1
Adam10	1	1
Adamts10	1	1
Adamts14	0	1
Adamts17	1	1
Adamts2	1	1
Adamts20	0	1
Adamts3	1	1
Adamts6	1	0
Adamts9	0	0
Adap1	1	1
Adap2	1	1
Adck2	1	1
Adcy2	0	1
Adcy4	0	0
Adcy6	0	0
Adcyap1r1	1	1
Adgra3	0	1
Adgre5	0	1
Adgrv1	0	0
Adra2a	0	1
Adra2b	1	1
Adrb3	0	1
Adrbk2	0	0
Adssl1	1	1
Aebp1	0	1
Aes	0	0
AF067061	0	0
Afap1	1	1
Aff1	1	1
Aff3	0	0
Ago1	1	1
Agtrap	0	0
Ahr	1	1
AI314180	0	1
AI467606	0	1
AI661453	1	1
Aifm2	1	1
Aig1	0	1
Aim2	0	0
Aire	0	1
Ak7	1	1
Akap1	1	1
Akap12	1	1
Akirin1	1	1
Akr1b3	0	0
Akr1b8	0	0
Akr1e1	0	1
Akt3	0	0
Alas2	0	0
Aldh1a2	0	1
Aldh1b1	1	1
Aldh3a1	0	0
Aldh3a2	1	1
Aldh4a1	1	1
Alg13	0	1
Alg8	1	1
Alkbh7	1	1
Alox15	1	1
Alox5ap	0	0
Alpk3	0	0
Als2cl	1	1
Alx3	0	1
Amd1	1	1
Amer3	1	1
Amfr	1	1
Amhr2	0	0
Amot	0	0
Amotl1	1	1
Amotl2	1	1
Amph	1	1
Amt	1	1
Angptl2	1	1
Angptl4	1	1
Ankrd23	0	0
Ankrd35	1	1
Ankrd45	0	0
Ankrd50	1	1
Ankrd9	1	1
Ano10	1	1
Ano9	0	1
Anpep	0	0
Antxr1	1	1
Antxr2	0	1
Anxa1	0	0
Anxa11	1	1
Anxa2	1	1
Anxa3	0	1
Anxa5	0	0
Anxa8	0	0
Aoah	0	0
Ap1m2	0	1
Ap3b2	1	1
Apbb1	1	1
Apcdd1	1	1
Apela	1	1
Aph1b	1	1
Aplnr	1	0
Aplp1	1	1
Apobec1	0	1
Apobec2	0	0
Apobec3	1	1
Apoc1	0	1
Apod	0	0
Apol6	0	0
Apopt1	0	0
App	1	1
Appl2	1	1
Aqp3	0	1
Arap3	1	1
Arc	1	1
Arfgef1	0	1
Arg2	1	1
Arhgap10	1	1
Arhgap30	0	0
Arhgap33	1	1
Arhgap44	0	1
Arhgap6	0	0
Arhgap8	0	0
Arhgef10l	1	1
Arhgef16	1	1
Arhgef17	1	1
Arhgef18	1	1
Arhgef2	1	1
Arhgef25	1	1
Arhgef28	0	1
Arhgef3	1	1
Arhgef40	1	1
Arhgef9	0	0
Arid1b	0	1
Arid3a	1	1
Arid3b	0	0
Arid5b	0	0
Arl14epl	0	0
Arl4a	1	1
Arl4c	1	1
Arl5c	1	1
Armcx2	1	1
Armcx3	0	1
Arntl	1	1
Arrb1	0	0
Arrdc1	1	1
Arsa	0	0
Arsg	0	0
Asb13	1	1
Asb4	0	0
Asf1b	1	1
Ash2l	1	1
Asic4	0	0
Aspg	1	1
Asph	1	1
Ass1	0	0
Asxl3	0	1
Atat1	1	1
Atcay	0	0
Atf7ip2	1	1
Atg101	1	1
Atg13	1	1
Atg14	1	1
Atg2a	1	1
Atg4c	1	1
Atg4d	1	1
Atl1	1	1
Atmin	1	1
Atn1	0	1
Atoh8	0	1
Atp10a	1	1
Atp11a	0	0
Atp11b	1	1
Atp11c	1	1
Atp1a2	0	0
Atp1a3	0	0
Atp1b1	1	1
Atp1b2	1	1
Atp5g1	1	1
Atp5s	1	1
Atp6v0a4	0	0
Atp6v0e2	0	0
Atrnl1	1	1
Atxn1l	1	1
AU018091	0	0
AU040320	1	1
Aurkc	0	0
Auts2	1	1
Aven	0	1
Avpi1	1	1
AW554918	0	0
Axin2	0	1
B3gnt2	1	1
B3gnt5	1	1
B3gnt7	1	1
B3gnt8	0	1
B4galnt3	1	1
B4galt2	0	0
Bace2	0	1
Bach2	0	0
Bag2	0	1
Bag3	1	1
Bahcc1	1	1
Baiap2	1	1
Baiap2l1	0	0
Bambi	0	1
Bbs7	1	1
BC017158	0	0
BC021614	0	0
BC023829	0	0
BC028528	0	0
Bcam	1	1
Bcas3	1	1
Bcat1	1	0
Bcat2	1	0
Bcl2	0	1
Bcl3	1	1
Bcl6b	1	1
Bcl9	1	1
Bcl9l	1	1
Bcorl1	0	1
Bdh1	1	1
Bdh2	0	0
Bend3	0	1
Bend6	1	1
Bex1	1	1
Bex2	1	1
Bex4	1	1
Bicc1	0	1
Bicd1	1	1
Bid	1	1
Bik	1	1
Bin1	1	1
Bin2	0	0
Blvrb	1	1
Bmi1	0	1
Bmp1	0	1
Bmp2	0	1
Bmp4	1	1
Bmp5	0	0
Bmp6	0	1
Bmp7	1	1
Bmper	0	1
Bmpr1a	1	1
Bmpr2	1	1
Bmyc	0	1
Bnc2	0	1
Bnip3	1	1
Bnip3l	1	1
Bnipl	0	0
Boc	0	1
Bok	1	1
Boll	1	1
Bpnt1	0	0
Braf	1	1
Brd7	1	1
Brms1	0	0
Brpf3	1	1
Bspry	1	1
Btbd1	1	1
Btbd10	1	1
Btbd11	1	1
C030039L03Rik	0	0
C1s1	0	1
C2cd2	1	1
C530008M17Rik	0	0
C77370	0	0
C8g	0	0
Cables1	0	0
Cabp7	0	1
Cacfd1	1	1
Cachd1	0	1
Cacna1a	1	1
Cacna1c	1	1
Cacna2d2	0	1
Cacng7	0	0
Cage1	0	0
Calb2	0	1
Calca	0	0
Calcoco2	1	1
Calcrl	0	0
Cald1	1	1
Calml4	0	0
Camk1d	1	1
Camk1g	0	0
Camk2b	0	1
Camkv	1	1
Camsap3	1	1
Cand2	1	1
Cap2	0	0
Capg	1	1
Capn1	1	0
Capn2	0	1
Capn3	0	0
Capn5	1	1
Capn6	0	0
Capsl	0	0
Car14	1	1
Car3	0	0
Car4	0	1
Carf	0	1
Carhsp1	1	1
Cars2	1	1
Casd1	1	1
Cask	1	1
Casp6	1	1
Casz1	1	1
Cbfa2t2	1	1
Cbfa2t3	1	1
Cblb	1	1
Cblc	1	1
Cbln1	0	0
Cbr3	1	1
Cbs	1	1
Cbx7	1	1
Cbx8	1	1
Ccbl2	0	0
Ccdc113	1	1
Ccdc120	0	0
Ccdc125	1	0
Ccdc132	0	0
Ccdc134	1	1
Ccdc136	1	1
Ccdc157	1	1
Ccdc159	0	0
Ccdc160	0	0
Ccdc171	1	1
Ccdc24	1	1
Ccdc3	0	1
Ccdc40	1	1
Ccdc57	0	1
Ccdc64	1	1
Ccdc8	1	1
Ccdc82	0	0
Ccdc88c	1	1
Ccdc92	0	0
Ccl27a	1	1
Ccnb1ip1	1	1
Ccnd2	0	0
Ccne1	1	1
Ccng2	1	1
Ccni	1	1
Ccnjl	1	1
Ccno	0	1
Ccpg1	1	1
Ccr7	0	0
Cd109	1	1
Cd1d1	0	1
Cd302	0	1
Cd34	0	0
Cd37	0	0
Cd38	0	0
Cd40	1	1
Cd44	0	0
Cd59a	1	1
Cd74	0	1
Cd80	0	0
Cd9	1	1
Cd99l2	1	1
Cdc14b	1	1
Cdc42ep1	0	0
Cdc42ep3	1	1
Cdc42ep5	1	1
Cdh1	1	1
Cdh11	0	1
Cdh13	0	0
Cdh2	0	1
Cdh3	1	1
Cdh4	1	1
Cdh5	0	0
Cdh6	1	1
Cdhr1	0	1
Cdk14	0	1
Cdk2ap2	1	1
Cdk5rap1	0	1
Cdkl1	0	1
Cdkl2	1	1
Cdkn1b	1	1
Cdkn2b	1	1
Cdo1	0	1
Cdr2	1	1
Cds1	1	1
Cdx2	0	1
Cdyl2	1	0
Ceacam1	1	1
Ceacam10	1	1
Cela2a	0	0
Celf2	0	1
Cenpo	0	0
Cenpv	0	1
Cep112	1	1
Cep170b	1	1
Cep55	1	1
Cep70	1	1
Cep85l	1	1
Cers4	1	1
Cfap74	1	0
Cfc1	1	1
Cfp	0	0
Cgn	1	1
Cgnl1	1	1
Cgrrf1	1	1
Chchd10	1	1
Chd3	0	0
Chd9	1	1
Chek2	0	0
Chga	1	1
Chmp4c	0	0
Chrna7	0	1
Chrna9	1	1
Chst1	0	1
Chst10	0	1
Chst14	1	1
Chst2	0	1
Chst7	1	1
Ciart	0	0
Cib1	1	1
Cisd3	1	1
Cited2	1	1
Ciz1	1	1
Ckb	0	1
Ckmt1	1	1
Clca3b	0	0
Clcn2	1	1
Cldn4	1	1
Cldn6	1	0
Cldn7	1	1
Cldn9	1	0
Cldnd1	1	1
Clgn	1	1
Clic1	1	0
Clic4	1	1
Clic6	0	1
Clip1	0	1
Clp1	1	1
Clstn3	0	1
Cltb	1	1
Clu	1	1
Cluh	1	1
Cmtm3	1	1
Cnbd2	0	1
Cndp2	1	1
Cnih1	0	1
Cnksr2	0	0
Cnnm2	0	0
Cnot6l	1	1
Cnp	1	1
Cnppd1	1	1
Cnpy1	1	1
Cnrip1	0	1
Cntln	0	1
Cobl	1	1
Cobll1	1	1
Coch	0	1
Col13a1	1	1
Col14a1	0	0
Col18a1	1	1
Col1a1	1	1
Col23a1	0	1
Col24a1	0	0
Col27a1	1	1
Col4a1	0	0
Col4a2	1	1
Col4a5	0	0
Col4a6	0	0
Col5a1	1	1
Col6a1	0	0
Col9a1	0	0
Col9a2	0	1
Colec12	0	1
Commd3	0	1
Coq10b	1	1
Coro1a	1	1
Cox4i2	0	1
Cox6b2	1	1
Cox7a1	1	1
Cox7b2	1	0
Cpd	1	1
Cpe	0	1
Cpeb4	1	1
Cplx2	1	1
Cpn1	0	1
Cpne1	1	1
Cpne5	0	1
Cpne9	1	1
Cpsf4l	0	0
Cpt1a	1	1
Cpt1b	1	0
Cpxm2	1	0
Cradd	0	1
Crb2	1	1
Crb3	0	0
Creld2	1	1
Crip1	1	1
Crispld1	0	0
Crispld2	1	1
Crmp1	0	0
Crtc3	0	1
Cryab	0	0
Csgalnact1	1	1
Csrnp1	1	1
Ctbp2	1	1
Ctdsp1	1	1
Ctdsp2	1	1
Ctdspl	1	1
Cth	0	1
Cthrc1	1	0
Ctla2a	0	0
Ctnnal1	1	1
Ctsc	0	1
Ctsh	0	1
Ctso	1	1
Cttnbp2	0	1
Ctxn1	1	1
Cul4a	1	1
Cul7	1	1
Cux1	1	1
Cx3cl1	1	1
Cxcl16	0	1
Cxcr4	1	1
Cxx1a	0	1
Cxx1b	0	1
Cxx1c	0	0
Cxxc5	0	1
Cyb561	1	1
Cyba	1	1
Cyct	0	1
Cyp26a1	1	1
Cyp27a1	0	0
Cyp2b23	0	0
Cyp2j6	1	0
Cyp2s1	1	1
Cyp4f13	1	0
Cyp4f15	0	0
Cyp51	1	1
Cysltr2	0	0
Cystm1	1	1
D1Ertd622e	1	1
D1Pas1	0	1
D430042O09Rik	0	0
D5Ertd579e	1	1
D630023F18Rik	0	0
D630039A03Rik	0	0
D630045J12Rik	1	1
Daam2	0	0
Dact2	1	1
Dact3	1	1
Dapk1	0	1
Dapk2	1	1
Dapp1	0	1
Dazl	1	1
Dbn1	1	1
Dbr1	0	1
Dcaf12l1	0	1
Dchs1	0	1
Dclk1	0	0
Dclk2	1	1
Dcun1d3	0	0
Dcun1d4	1	1
Dcxr	1	1
Ddah1	0	1
Ddah2	1	1
Ddb2	1	1
Ddc	0	0
Ddit4	0	0
Ddr2	0	0
Ddx20	1	1
Ddx26b	0	0
Ddx4	0	1
Ddx43	0	1
Ddx58	0	1
Decr1	1	1
Dedd2	1	1
Def8	0	1
Defa4	0	0
Dennd2a	0	1
Dennd2c	0	0
Dennd4b	1	1
Depdc7	1	1
Deptor	1	1
Derl3	1	1
Des	1	1
Dgka	0	0
Dgke	1	1
Dgkg	1	1
Dgkz	1	1
Dhrs7	0	1
Dhx16	0	1
Dhx32	1	1
Diap1	0	0
Dido1	0	1
Dip2a	1	1
Dkk1	0	1
Dlg4	0	0
Dlg5	1	1
Dlgap3	1	1
Dlx3	0	0
Dmd	1	1
Dmgdh	0	0
Dmpk	0	0
Dmrt1	0	1
Dmtn	1	1
Dnah8	0	0
Dnajb14	0	0
Dnajb4	0	1
Dnajc21	1	1
Dnajc6	1	1
Dnd1	1	1
Dnmt3l	1	1
Doc2g	0	0
Dock11	0	1
Dock7	1	1
Dock8	0	1
Dock9	0	1
Dok2	0	0
Dok4	1	1
Dok5	1	1
Dpf3	1	1
Dph3	1	1
Dpm3	1	0
Dpp4	0	0
Dpp7	1	1
Dpp8	1	1
Dppa2	0	1
Dppa3	1	0
Dppa4	0	0
Dppa5a	1	1
Dpy30	0	1
Dpys	0	0
Dpysl2	1	1
Dpysl3	1	1
Dpysl5	1	1
Drc1	0	1
Dsp	1	1
Dtna	0	0
Dtwd2	1	1
Dtx1	0	1
Dtx3	0	1
Dtx3l	0	0
Dusp1	1	1
Dusp10	0	0
Dusp14	0	1
Dusp2	0	1
Dusp22	0	1
Dusp27	0	0
Dusp4	1	1
Dusp5	1	1
Dynlt3	1	1
Dyrk2	1	1
Dyrk3	1	1
Dzip1l	1	1
Dzip3	1	1
E130012A19Rik	0	0
E2f2	1	1
E2f5	1	1
E2f8	1	1
E330009J07Rik	1	1
Ebf4	1	1
Ect2	1	1
Eda2r	1	1
Edil3	0	1
Ednra	0	0
Eed	1	1
Efcab11	1	1
Efemp2	1	1
Efhd1	0	1
Efna1	1	1
Efna3	1	1
Efna5	1	1
Efnb1	1	1
Efnb2	1	1
Efnb3	1	1
Efs	1	1
Egfl7	1	1
Egflam	0	1
Egln1	0	0
Egln3	1	1
Ehd4	1	1
Ehhadh	1	1
Eid1	0	1
Eif1b	0	1
Eif2d	0	0
Eif2s2	0	1
Eif4e3	1	0
Elac2	1	1
Elavl2	1	1
Elavl3	1	1
Elf3	0	1
Elk3	0	1
Ell3	1	1
Elmod2	1	1
Elovl1	1	0
Elovl5	1	1
Emid1	1	1
Emilin2	0	1
Eml1	0	1
Eml3	0	0
Emp1	0	0
Emp2	1	1
Emp3	0	0
Enah	1	1
Enc1	0	1
Endov	1	1
Enho	1	1
Eno2	1	1
Enox1	1	1
Enpp2	1	0
Enpp3	0	0
Enpp4	1	1
Eomes	1	1
Epas1	1	1
Epcam	1	1
Epdr1	0	0
Epha2	1	1
Epha4	1	1
Ephb4	1	1
Ephb6	1	1
Ephx1	1	1
Ephx2	1	1
Epm2a	0	1
Epm2aip1	0	0
Epor	1	1
Eppk1	0	1
Eps8	0	1
Eps8l2	1	1
Eras	1	1
Erbb2	0	1
Erbb2ip	0	0
Erbb3	1	1
Ercc4	0	0
Erdr1	0	1
Erg	0	1
Errfi1	1	1
Esco2	1	1
Esrp1	1	1
Esrp2	1	1
Esrrb	0	1
Esyt3	1	1
Etl4	1	1
Ets1	1	1
Etv2	1	1
Etv4	1	1
Etv5	1	1
EU599041	0	1
Evx1	0	0
Exoc3l	0	0
Exoc7	1	1
Ezr	1	1
F11r	1	1
F2r	1	1
F2rl1	1	1
F3	1	1
Fabp3	0	1
Fabp7	0	0
Fahd2a	1	1
Fam101b	0	0
Fam109b	0	0
Fam114a1	1	1
Fam118b	1	1
Fam122b	1	1
Fam126a	1	1
Fam129a	0	1
Fam129c	0	1
Fam131c	1	1
Fam132a	1	0
Fam149a	0	0
Fam162a	0	0
Fam163a	0	1
Fam167a	0	1
Fam169a	0	1
Fam169b	0	0
Fam171a1	0	1
Fam171a2	1	1
Fam173a	1	1
Fam178b	0	1
Fam183b	0	0
Fam188a	1	1
Fam195b	1	1
Fam199x	0	1
Fam19a5	0	1
Fam208a	1	1
Fam210b	1	1
Fam212a	1	1
Fam212b	0	1
Fam216a	0	0
Fam25c	0	0
Fam3a	0	1
Fam46b	1	1
Fam46c	1	1
Fam53b	0	1
Fam57a	1	1
Fam63a	0	1
Fam64a	1	1
Fam65a	1	1
Fam65b	0	1
Fam65c	0	0
Fam81a	0	1
Fam83b	0	0
Fancm	1	1
Farp1	1	1
Fat3	0	0
Faxc	0	1
Fblim1	1	1
Fbln1	1	1
Fbln2	1	1
Fbln7	0	1
Fbn1	0	1
Fbn2	0	1
Fbp2	1	1
Fbxl12	0	0
Fbxl14	0	1
Fbxl20	1	1
Fbxo15	1	1
Fbxo18	0	0
Fbxo2	0	0
Fbxo22	0	1
Fbxo7	0	1
Fbxw17	0	1
Fbxw4	0	1
Fbxw8	1	1
Fcgr2b	0	0
Fcgrt	0	0
Fermt1	0	1
Fetub	0	1
Fez1	0	0
Fgd4	1	1
Fgd5	0	0
Fgf1	0	0
Fgf10	0	1
Fgf11	0	1
Fgf17	0	0
Fgf3	0	1
Fgf4	1	1
Fgf5	0	1
Fgf8	1	1
Fgfbp1	0	0
Fgfr1	1	1
Fgfr2	1	1
Fgfr3	1	1
Fgfrl1	1	1
Fggy	1	1
Fhl3	1	1
Fig4	1	1
Fign	0	1
Fignl2	0	1
Fitm2	0	0
Fkbp5	1	1
Fkbp6	0	0
Fkbp7	1	1
Fli1	0	1
Flnb	1	1
Flnc	0	1
Flrt3	1	1
Flt1	0	1
Flt4	1	1
Fmnl2	1	1
Fmr1nb	0	0
Fn1	1	1
Fndc3c1	1	1
Fndc4	1	1
Fndc5	0	0
Folr1	0	0
Fos	1	1
Fosb	1	1
Fosl2	1	1
Foxd3	0	0
Foxf1	1	1
Foxh1	0	0
Foxi3	1	1
Foxj2	1	1
Foxk1	1	1
Foxn4	1	1
Foxo1	1	1
Foxo4	1	1
Foxp1	0	1
Foxr2	0	0
Frat1	0	1
Frem1	0	0
Frmd4a	0	1
Frmd4b	0	1
Frmd6	1	1
Frrs1	0	1
Fry	1	1
Frzb	1	1
Fscn1	1	1
Fsd1	0	1
Fsd1l	0	1
Fst	0	1
Fstl1	1	1
Fstl4	0	1
Furin	0	1
Fut10	0	1
Fut11	1	1
Fut4	0	1
Fut9	0	1
Fv1	0	0
Fxyd1	1	1
Fzd1	0	1
Fzd2	1	1
Fzd3	0	1
Fzd4	1	1
Fzd5	1	1
Fzd7	1	1
G3bp2	1	1
G6pc3	1	1
Gab1	1	1
