Gene	ESC_CTCF	ESC_Esrrb	ESC_Mafk	ESC_Myc	ESC_Nanog	ESC_Pou5f1	ESC_Sox2	ESC_Sp1	ESC_Sp3	Flk_Fos	Flk_Jun	Flk_JunD	Flk_Lmo2	Flk_Tal1	Flk_TEAD4	Flk_Yap	HE_Fli1	HE_Meis1	HP_Cebpb	HP_Gfi1	HP_Gfi1b	HP_Runx1	HP_Spi1
0610005C13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610007P14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	0	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0
0610009L18Rik	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610009O20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610010B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610010F05Rik	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0
0610010K14Rik	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	1	0
0610012G03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
0610037L13Rik	0	0	0	1	0	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0
0610038B21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039H22Rik	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610039K10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040B10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040F04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610040J01Rik	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0610043K17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1010001N08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
1110002L01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110004E09Rik	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0
1110004F10Rik	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1110006O24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008F13Rik	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0
1110008L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008P14Rik	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1110012L19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110019D14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110020A21Rik	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1110032A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110032F04Rik	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1110034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	0	0	1	0	0	1	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	0
1110038B12Rik	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1110038F14Rik	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1110051M20Rik	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1110058D11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110059G10Rik	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
1110065P20Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190002N15Rik	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0
1190005I06Rik	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1190007I07Rik	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1300002E11Rik	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500004A13Rik	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
