gene	E14_ES_fpkm	E14_flk_fpkm	E14_HE1_fpkm	E14_HE2_fpkm	E14_prog_fpkm	Sp1hyp_ES_fpkm	Sp1hyp_Flk_fpkm	Sp1hyp_HE1_fpkm	Sp1hyp_HE2_fpkm	Sp1hyp_prog_fpkm
0610005C13Rik	1.19090845	0.79307425	0.573937483	0.48255335	0.280026633	1.03489485	0.558451	1.011529667	0.9472266	0.497509183
0610007P14Rik	15.8124461	20.15098262	18.48855833	23.68946067	19.60279608	12.90787758	15.85201172	16.43303708	19.7087834	17.41062008
0610009B22Rik	26.77690415	22.4488464	17.55214357	22.13687582	18.71952785	26.93853162	20.04367708	12.14572805	16.27198835	18.50421457
0610009L18Rik	0.714239333	0.9305953	0.653248817	0.874260017	1.740044167	0.808017933	1.0558706	0.559466333	1.295430067	2.429311467
0610009O20Rik	13.96823045	25.0851964	22.89270925	22.73864702	23.69735267	18.08633663	27.86470213	30.38510678	30.14950385	29.42145473
0610010B08Rik	0.000502967	0.01539295	0.027547592	0.026833117	0.62512545	0.001977733	0.00766475	0.048170267	0.045311283	0.1016966
0610010F05Rik	5.8761688	8.482548917	12.72582098	18.66196922	18.31836352	6.663564983	10.53295902	13.6562702	20.63910577	20.07928962
0610010K14Rik	27.99546772	39.60992933	49.0340902	62.11029222	49.52587755	32.66435737	38.03094592	44.07246367	53.76002627	42.74241722
0610012G03Rik	8.44485245	13.51109363	12.86334575	13.35759468	10.54881455	6.458660483	11.20087093	9.707702167	9.068631	11.02692857
0610030E20Rik	2.7776334	7.853575067	2.854959683	3.42386995	5.25035795	4.771899617	7.982581	3.6489113	5.41668425	6.788607817
0610037L13Rik	13.59060932	15.13122082	15.3827826	23.57489855	18.15119153	16.25436415	17.7254999	21.80720355	26.36652383	21.68704457
0610038B21Rik	0.224258417	0.896586083	0.53568725	0.474300833	0.7932731	0.1301898	0.560740567	0.557515817	0.172117233	1.25257355
0610039H22Rik	2.382128833	1.1198409	1.070783033	1.1768208	1.066085217	2.6290804	2.06388575	1.194272883	1.680963117	0.86897225
0610039K10Rik	0.610095783	0.945743667	0.060025133	0.090479817	0.105552025	0.288827767	0.767655017	0.25069845	0.204537633	0.342908717
0610040B10Rik	0.234830517	2.048953683	0.737745217	1.726020333	1.4879446	0.144470367	1.112111367	1.77356585	1.455970483	2.73443615
0610040F04Rik	1.98345785	0.170002433	0.020300008	0.054142633	0.045760308	3.5925498	0.007362317	0.001723592	0.00155065	0.082341492
0610040J01Rik	0.683394983	0.133193717	0.2784686	0.102948583	0.109569608	0.320874633	0.266421883	0.26915455	0.040544033	0.007057617
0610043K17Rik	0.715815783	0.037477483	0.216176408	0.0003658	0.000715	0.261846567	0.329636567	0.542089817	0.32966695	0.156048425
1010001N08Rik	0	3.006688633	1.537344533	0.37798205	0.000715	0	4.440890383	1.31619	0.58767495	0.007057617
1110002J07Rik	0.701533783	0.08670465	0.013085225	0.0003658	0.000715	1.055398183	0.262778383	0.156022833	0.00155065	0.070714225
1110002L01Rik	18.91151567	6.420385083	2.693214967	4.643030467	5.418046267	17.78965213	11.10313178	3.490554283	5.074353483	8.810278733
1110004E09Rik	18.2700393	16.66394217	15.75891038	19.31227295	17.66994035	14.75797395	13.97533688	13.7843523	15.40875102	14.80657963
1110004F10Rik	49.58546895	68.45072805	63.6249739	75.6674415	78.85152	41.34322523	64.84864958	58.15829547	62.347244	63.26064883
1110006O24Rik	0.161985767	0.383439467	0.984492483	0.58075695	0.9680662	0.13526865	0.3595852	0.588536367	0.795167983	0.878389767
1110008F13Rik	59.1961351	46.58537902	64.92044205	69.89935492	94.96723532	52.05523307	54.20456623	60.49301448	60.40215855	86.94206223
1110008L16Rik	20.57608832	13.06210035	6.20368205	10.27075498	11.15765722	17.06867367	11.1784644	6.336157883	9.6258868	12.7901025
