gene,E14_ES_fpkm,E14_flk_fpkm,E14_HE1_fpkm,E14_HE2_fpkm,E14_prog_fpkm
0610005C13Rik,1.19090845,0.79307425,0.573937483,0.48255335,0.280026633
0610007P14Rik,15.8124461,20.15098262,18.48855833,23.68946067,19.60279608
0610009B22Rik,26.77690415,22.4488464,17.55214357,22.13687582,18.71952785
0610009L18Rik,0.714239333,0.9305953,0.653248817,0.874260017,1.740044167
0610009O20Rik,13.96823045,25.0851964,22.89270925,22.73864702,23.69735267
0610010B08Rik,0.000502967,0.01539295,0.027547592,0.026833117,0.62512545
0610010F05Rik,5.8761688,8.482548917,12.72582098,18.66196922,18.31836352
0610010K14Rik,27.99546772,39.60992933,49.0340902,62.11029222,49.52587755
0610012G03Rik,8.44485245,13.51109363,12.86334575,13.35759468,10.54881455
0610030E20Rik,2.7776334,7.853575067,2.854959683,3.42386995,5.25035795
0610037L13Rik,13.59060932,15.13122082,15.3827826,23.57489855,18.15119153
0610038B21Rik,0.224258417,0.896586083,0.53568725,0.474300833,0.7932731
0610039H22Rik,2.382128833,1.1198409,1.070783033,1.1768208,1.066085217
0610039K10Rik,0.610095783,0.945743667,0.060025133,0.090479817,0.105552025
0610040B10Rik,0.234830517,2.048953683,0.737745217,1.726020333,1.4879446
0610040F04Rik,1.98345785,0.170002433,0.020300008,0.054142633,0.045760308
0610040J01Rik,0.683394983,0.133193717,0.2784686,0.102948583,0.109569608
0610043K17Rik,0.715815783,0.037477483,0.216176408,0.0003658,0.000715
1010001N08Rik,0,3.006688633,1.537344533,0.37798205,0.000715
1110002J07Rik,0.701533783,0.08670465,0.013085225,0.0003658,0.000715
1110002L01Rik,18.91151567,6.420385083,2.693214967,4.643030467,5.418046267
1110004E09Rik,18.2700393,16.66394217,15.75891038,19.31227295,17.66994035
1110004F10Rik,49.58546895,68.45072805,63.6249739,75.6674415,78.85152
1110006O24Rik,0.161985767,0.383439467,0.984492483,0.58075695,0.9680662
1110008F13Rik,59.1961351,46.58537902,64.92044205,69.89935492,94.96723532
1110008L16Rik,20.57608832,13.06210035,6.20368205,10.27075498,11.15765722
1110008P14Rik,5.763001767,2.403061283,2.7692665,2.400238833,6.391102367
1110012L19Rik,12.66650917,28.53909815,15.54376517,15.74454825,11.28518383
1110019D14Rik,4.984876017,2.04287595,1.9325111,2.513866967,1.59183845
1110020A21Rik,0.335036933,0.665726483,0.181500017,0.181427367,0.711414433
1110032A03Rik,1.466929817,3.15899875,2.831001233,4.0593163,3.983531533
1110032F04Rik,0.2010397,1.47659225,0.19563235,0.2161085,0.1291041
1110034G24Rik,4.831773417,3.71927355,4.38173595,3.285208417,2.844219733
1110037F02Rik,24.10336733,22.13838965,25.84749433,27.0356966,25.8218241
1110038B12Rik,75.6820121,87.11284405,33.55214975,53.77033038,73.30364033
1110038F14Rik,14.81711103,12.62569747,14.55526462,15.44045922,17.10694323
1110051M20Rik,6.693537283,13.86694298,12.45822928,11.94509595,13.4939391
1110058D11Rik,0.762300517,1.30520575,2.658482933,4.628668183,3.9349994
1110059E24Rik,20.92214213,24.4180088,15.92785643,13.79610613,10.77171408
1110059G10Rik,1.62961965,2.188740833,2.01500155,2.887653617,3.3732113
1110065P20Rik,5.083179683,12.4748605,12.25603697,9.89682585,8.920158033
1190002N15Rik,11.1263733,7.89939435,7.19539155,4.2876269,6.008594117
1190005I06Rik,11.17288765,0,0.000444875,0.0003658,0.000715
1190007I07Rik,7.579277417,9.5293215,1.84190935,4.191254983,5.261002367
1300002E11Rik,3.286020517,2.22916335,1.17432925,1.9180587,1.8445176
1300017J02Rik,0.041383417,0,0.101095983,0.530163667,3.778535383
1500004A13Rik,5.64404835,3.0118144,2.846787283,3.98867455,4.572068017
1500009L16Rik,16.01045212,3.668906583,9.525226767,3.15628525,0.685229233
1500011B03Rik,11.8867453,8.674318983,6.399104367,4.757993217,7.029324767
1500011K16Rik,3.467968767,4.036422133,4.999915867,6.5181451,5.16558995
1500015A07Rik,4.749076833,6.272346417,4.472047183,3.869574217,4.2790236
1600002H07Rik,11.49024957,13.14743683,17.74334402,16.04971353,17.4158236
1600002K03Rik,6.259683267,2.526147383,3.253611183,4.178951933,4.482230317
1600012H06Rik,8.10751105,9.17934635,8.438085633,6.860534267,6.279631817
1600014C10Rik,2.402383333,2.271115883,2.502715967,3.530323433,4.249762917
1600020E01Rik,10.38161568,7.789430833,5.387183183,7.924048433,8.432691533
1600023N17Rik,0.379352333,0.993471617,0.412986817,0.198294683,0.30193075
1600029I14Rik,0.15416385,0.174044833,0.711114483,0.9974215,0.963148267
1700001D01Rik,0.19915525,1.2174817,1.81537795,1.151171733,0.735242658
1700001G11Rik,0.22795675,0.46201345,0.063724475,0.223696117,0.258119617
1700001G17Rik,0.050139817,0.531552083,0.194271933,0.224862517,0.52040015
1700001K19Rik,0.44939515,0.640211883,1.474237283,1.393202233,1.6411035
1700001K23Rik,0.051688167,0.62813805,0.99806065,0.93461155,0.4386622
1700001L05Rik,10.48451713,1.514699417,0.506619517,0.546076933,1.093737933
1700001P01Rik,0.8000971,0.801139917,1.16819725,1.0540794,2.287275817
1700003E16Rik,0.15012415,1.115868433,0.0438672,0.07276055,0.000715
1700003F12Rik,0.135234317,1.516336467,0.50137065,0.835781533,0.897860983
1700003M07Rik,0.11960335,0.15579355,0.061027108,0.025975267,0.000715
1700007J10Rik,0.779421033,1.431949167,2.931983817,2.154211517,1.85682795
1700007K13Rik,7.560599933,1.601402667,2.848752267,2.140131167,0.488677517
1700007L15Rik,2.832479467,2.021538583,0.5874017,1.650271983,1.529809733
1700008J07Rik,1.06076445,2.023470167,0.95619825,1.026888083,1.11788255
1700008O03Rik,0.241365067,0.57390865,0.000444875,0.207924283,0.140761825
1700010I14Rik,0.214740433,0.675960667,0.424835783,1.002995733,0.743052267
1700012D01Rik,0.02468505,0.4994472,0.310044983,0.125499633,0.258098267
1700012D14Rik,0.6266317,0.992762567,0.045906175,0.1923001,0.323954975
1700012D16Rik,0.629971383,0.822055117,2.3852445,1.878258217,0.566400667
1700017B05Rik,8.532806633,12.71047122,46.49232905,19.57601592,12.21554047
1700017J07Rik,1.148899233,0,0.000444875,0.067631167,0.000715
1700019A02Rik,2.4979342,0,0.000444875,0.042928833,0.121503825
1700019D03Rik,18.88982997,1.113664083,0.14813065,0.393601383,0.493892817
