gene,Sp1hyp_ES_fpkm,Sp1hyp_Flk_fpkm,Sp1hyp_HE1_fpkm,Sp1hyp_HE2_fpkm,Sp1hyp_prog_fpkm
0610005C13Rik,1.03489485,0.558451,1.011529667,0.9472266,0.497509183
0610007P14Rik,12.90787758,15.85201172,16.43303708,19.7087834,17.41062008
0610009B22Rik,26.93853162,20.04367708,12.14572805,16.27198835,18.50421457
0610009L18Rik,0.808017933,1.0558706,0.559466333,1.295430067,2.429311467
0610009O20Rik,18.08633663,27.86470213,30.38510678,30.14950385,29.42145473
0610010B08Rik,0.001977733,0.00766475,0.048170267,0.045311283,0.1016966
0610010F05Rik,6.663564983,10.53295902,13.6562702,20.63910577,20.07928962
0610010K14Rik,32.66435737,38.03094592,44.07246367,53.76002627,42.74241722
0610012G03Rik,6.458660483,11.20087093,9.707702167,9.068631,11.02692857
0610030E20Rik,4.771899617,7.982581,3.6489113,5.41668425,6.788607817
0610037L13Rik,16.25436415,17.7254999,21.80720355,26.36652383,21.68704457
0610038B21Rik,0.1301898,0.560740567,0.557515817,0.172117233,1.25257355
0610039H22Rik,2.6290804,2.06388575,1.194272883,1.680963117,0.86897225
0610039K10Rik,0.288827767,0.767655017,0.25069845,0.204537633,0.342908717
0610040B10Rik,0.144470367,1.112111367,1.77356585,1.455970483,2.73443615
0610040F04Rik,3.5925498,0.007362317,0.001723592,0.00155065,0.082341492
0610040J01Rik,0.320874633,0.266421883,0.26915455,0.040544033,0.007057617
0610043K17Rik,0.261846567,0.329636567,0.542089817,0.32966695,0.156048425
1010001N08Rik,0,4.440890383,1.31619,0.58767495,0.007057617
1110002J07Rik,1.055398183,0.262778383,0.156022833,0.00155065,0.070714225
1110002L01Rik,17.78965213,11.10313178,3.490554283,5.074353483,8.810278733
1110004E09Rik,14.75797395,13.97533688,13.7843523,15.40875102,14.80657963
1110004F10Rik,41.34322523,64.84864958,58.15829547,62.347244,63.26064883
1110006O24Rik,0.13526865,0.3595852,0.588536367,0.795167983,0.878389767
1110008F13Rik,52.05523307,54.20456623,60.49301448,60.40215855,86.94206223
1110008L16Rik,17.06867367,11.1784644,6.336157883,9.6258868,12.7901025
1110008P14Rik,8.342814017,4.888378883,1.465564233,1.13505475,6.911956833
1110012L19Rik,8.722093317,10.50737343,5.940263333,6.044867817,6.556348567
1110019D14Rik,4.4206646,1.274861683,0.842913183,1.977394717,1.67659425
1110020A21Rik,0.449015133,0.362012383,0.42812905,0.92906155,1.9070714
1110032A03Rik,1.162647517,3.985195483,2.571533167,3.23576025,5.3018298
1110032F04Rik,0.212436533,0.878522433,0.170424033,0.322280467,0.161396133
1110034G24Rik,5.293708917,3.406517733,4.44536105,3.295003083,4.457788
1110037F02Rik,22.23076648,23.05716897,27.60822722,27.8037837,29.2682278
1110038B12Rik,89.22571653,90.9149913,53.80449803,89.05903662,76.13673032
1110038F14Rik,12.40894367,13.8449845,12.19404922,14.01944312,13.19485525
1110051M20Rik,5.827554883,14.29134045,9.74111095,12.59027298,13.86190828
1110058D11Rik,0.621618233,1.393398,3.200832717,6.011530383,7.3579087
1110059E24Rik,16.70038548,21.41749133,16.32656127,16.16092827,13.65583032
1110059G10Rik,1.411415967,2.435016983,2.803115167,3.306093567,4.466749633
1110065P20Rik,6.027866033,9.087053217,12.19068235,10.1907915,7.80543005
1190002N15Rik,11.02053512,9.366176733,8.902334983,6.891808433,5.8634826
1190005I06Rik,10.5105518,0,0.001723592,0.00155065,0.007057617
1190007I07Rik,11.76456892,7.19949105,3.51797475,6.337736967,7.329705717
1300002E11Rik,2.794180867,1.8809838,1.068737167,1.7741552,2.374382117
1300017J02Rik,0.09308255,0.04151765,0.052791067,0.596442717,8.82605835
1500004A13Rik,5.354516733,4.5886842,3.6061032,4.3311563,4.686759
1500009L16Rik,9.739105367,3.600427917,4.181050383,1.815242267,8.141345367
1500011B03Rik,11.32727372,8.215613883,6.927396833,5.54553135,7.135278733
1500011K16Rik,5.918201,3.25241555,4.2364874,5.92557965,7.410055317
1500015A07Rik,5.322007433,5.8518365,4.2580632,4.400392367,5.0824223
1600002H07Rik,12.8185735,14.008179,15.9128287,16.17546473,19.89319982
1600002K03Rik,4.854612483,3.59114295,2.444460367,3.3232194,3.092998
1600012H06Rik,11.47455738,10.029701,9.425649083,6.763609217,6.407975817
1600014C10Rik,1.7604869,1.866581133,2.483144067,2.9399375,3.795966067
1600020E01Rik,9.648164133,8.11396775,8.3421583,9.545596083,12.12262715
1600023N17Rik,0.176596417,0.542161433,0.2285573,0.205777183,0.531774133
1600029I14Rik,0.059611217,0.309083867,0.175462967,0.879073217,0.791071367
1700001D01Rik,0.33627165,1.739313733,1.86715095,0.949440717,0.747208283
1700001G11Rik,0.05132685,0.039323567,0.066418017,0.18321165,1.003019583
1700001G17Rik,0.04843765,0.366996267,0.5068927,0.47234815,0.698342583
1700001K19Rik,0.689969967,1.510308783,1.521904933,1.418614333,1.425230933
1700001K23Rik,0.095779617,0.868807083,1.188989417,1.138470133,1.56618845
1700001L05Rik,7.036000567,0.580934167,0.88797535,0.665565083,0.827305883
1700001P01Rik,0.943001283,0.947873417,1.062902633,1.56307955,0.974090667
1700003E16Rik,0.233721933,0.850850267,0.237309367,0.079960433,0.087037358
1700003F12Rik,0.070762333,0.491112333,0.109354608,0.741734883,0.007057617
1700003M07Rik,0.446014167,0.037746267,0.114082033,0.00155065,0.087177375
1700007J10Rik,0.725219833,1.297066867,1.91367495,1.891846583,1.336126933
1700007K13Rik,5.999966,0.445416017,3.0509232,1.739078067,0.467754833
1700007L15Rik,2.88202095,2.65337115,1.216527817,1.494580467,2.674177717
1700008J07Rik,1.5069272,2.05534565,1.253461617,1.68611605,1.823934033
1700008O03Rik,0.27881635,0.2830562,0.118678342,0.346340267,0.007057617
1700010I14Rik,0.15588735,0.632668483,0.105961158,0.267758083,0.409454317
1700012D01Rik,0.392180267,0.6143454,0.5232956,0.07678785,0.154200325
1700012D14Rik,1.201051083,0.69133605,0.445232117,0.081984467,0.445859658
1700012D16Rik,1.389082367,2.314800983,3.181330533,1.9945747,1.515104433
1700017B05Rik,5.350773383,10.86632565,31.08048585,7.52534,4.944174083
1700017J07Rik,0.7678324,0,0.001723592,0.109197333,0.134026875
1700019A02Rik,5.071546,0.10911065,0.001723592,0.167332117,0.007057617
1700019D03Rik,18.55933548,0.765029883,0.001723592,0.53914025,0.495815817
1700019E08Rik,0.741709483,0.015789783,0.001723592,0.00155065,0.007057617
1700020A23Rik,0,0.1623389,0.514045517,0.7591585,0.735400017
1700020D05Rik,0.596515567,0.7602752,0.38888425,0.6014936,0.4455864
1700020I14Rik,26.28249903,49.79908465,40.69334808,38.63372585,47.8376164
1700020L24Rik,0.006178133,0,0.322482375,0.34587355,0.007057617
1700021F05Rik,31.05514785,18.21489355,11.06932168,15.49581752,17.58075483
1700022H01Rik,0.525975983,0.452676517,0.084553017,0.440762417,1.00462355
1700022I11Rik,0.016544433,0.230889083,1.402590533,1.580028717,2.056509883
1700025G04Rik,0.31145965,3.0623429,2.8727263,2.20084655,3.184539467
1700028B04Rik,0.483982967,0.037882667,0.001723592,0.00155065,0.007057617
1700028E10Rik,0.036402083,0.475247283,2.6422504,1.65752275,0.926787117
1700028J19Rik,0.305059967,0.459795333,0.59873775,0.5868735,1.24204705
1700028K03Rik,1.409337117,1.31157225,1.314022567,1.540344,1.71670025
1700029H14Rik,0.151903467,0,1.103493633,1.1667206,0.819391508
1700029I15Rik,0,0.2066562,0.001723592,0.537491833,0.263016908
1700029J07Rik,0.101333633,1.26880645,0.168935667,0.701637433,0.54628525
1700029P11Rik,3.63370265,0.02304075,0.131355167,0.00155065,0.007057617
1700030C10Rik,4.347215117,0.638820517,1.215051417,0.9824767,0.6200948
1700030J22Rik,1.731852633,1.152933633,1.006911517,1.221481733,1.151420367
1700030K09Rik,8.250683683,7.96766365,5.655413833,7.734687017,8.110849333
1700034J05Rik,0.5543412,2.19148395,2.13904055,1.26807605,1.039726583
1700034P13Rik,0.164241417,0.214470117,0.1215754,0.145198933,0.343075833
1700037C18Rik,0.50451215,1.29288325,1.0586025,1.728565217,2.58089135
1700037H04Rik,40.78018762,19.44568375,16.80204392,17.26497232,33.62957477
1700042O10Rik,0.728084683,0.02196875,0.540637767,0.179295467,0.007057617
1700047A11Rik,0.168502533,1.038919533,1.073121483,1.02254065,0.606594667
1700047I17Rik2,0.424194983,0.463669933,0.64360915,0.587190167,1.060523467
1700048M11Rik,0.4982113,0.439892317,1.00716815,0.7926253,0.368874942
1700052K11Rik,1.250250767,2.561744017,4.335333033,4.934540367,5.864289933
1700056E22Rik,0,0.54936215,0.849570933,1.033028817,0.718967833
1700057H21Rik,0.275483333,0,0.001723592,0.00155065,0.007057617
